0,1,2,3,4,5,6,7,8,9,10
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,,SERIE B 2019
,SUPERFICIES DES TERRES UTILISEES PAR L'AGRICULTURE (1/2),,,,,,,,,
WILAYA,Cultures  herbacées,,,Terres    au  repos,,,Prairies   naturelles,,Vignes,
,ha,%,ha,%,,ha,%,,ha,%
1 ADRAR,24 702,"4,3",1 948,,"0,3",0,,"0,0",0,"0,0"
2 CHLEF,134 841,"51,4",50 988,,"19,4",845,,"0,3",1 063,"0,4"
3 LAGHOUAT,44 017,"2,5",27 268,,"1,5",0,,"0,0",373,"0,0"
4 O.E.BOUAGHI,234 118,"45,4",122 962,,"23,9",670,,"0,1",2,"0,0"
5 BATNA,189 135,"25,4",193 394,,"26,0",17 043,,"2,3",91,"0,0"
6 BEJAIA,14 464,"8,8",41 708,,"25,3",1 380,,"0,8",410,"0,2"
7 BISKRA,61 484,"3,7",72 530,,"4,4",0,,"0,0",289,"0,0"
8 BECHAR,3 255,"0,2",16 716,,"1,2",0,,"0,0",127,"0,0"
9 BLIDA,15 618,"24,1",6 653,,"10,3",1 242,,"1,9",1 170,"1,8"
10 BOUIRA,86 288,"29,4",59 981,,"20,4",100,,"0,0",76,"0,0"
11 TAMANRASSET,3 322,"0,4",0,,"0,0",0,,"0,0",137,"0,0"
12 TEBESSA,197 698,"24,2",101 536,,"12,4",120,,"0,0",0,"0,0"
13 TLEMCEN,234 494,"43,6",77 872,,"14,5",0,,"0,0",2 346,"0,4"
14 TIARET,405 690,"36,6",269 257,,"24,3",50,,"0,0",563,"0,1"
15 TIZI-OUZOU,26 251,"18,0",21 328,,"14,6",1 257,,"0,9",1 293,"0,9"
16 ALGER,11 704,"36,0",3 696,,"11,4",0,,"0,0",2 409,"7,4"
17 DJELFA,115 274,"4,6",252 721,,"10,1",0,,"0,0",43,"0,0"
18 JIJEL,9 596,"9,8",12 275,,"12,5",4 469,,"4,5",49,"0,0"
19 SETIF,230 851,"50,2",95 202,,"20,7",1 958,,"0,4",26,"0,0"
20 SAIDA,150 607,"29,5",149 771,,"29,3",0,,"0,0",57,"0,0"
21 SKIKDA,84 356,"43,7",23 902,,"12,4",484,,"0,3",1 179,"0,6"
22 S.B.ABBES,206 998,"53,5",134 772,,"34,9",0,,"0,0",3 159,"0,8"
23 ANNABA,31 442,"54,4",11 090,,"19,2",2 223,,"3,8",88,"0,2"
24 GUELMA,118 370,"44,7",55 583,,"21,0",306,,"0,1",39,"0,0"
25 CONSTANTINE,114 017,"64,8",9 289,,"5,3",0,,"0,0",19,"0,0"
26 MEDEA,170 361,"23,2",134 475,,"18,3",10 823,,"1,5",3 118,"0,4"
27 MOSTAGANEM,94 046,"65,0",5 323,,"3,7",0,,"0,0",10 879,"7,5"
28 M'SILA,102 185,"7,9",157 565,,"12,1",0,,"0,0",35,"0,0"
29 MASCARA,206 168,"47,5",76 323,,"17,6",0,,"0,0",4 756,"1,1"
30 OUARGLA,5 643,"0,1",25 521,,"0,4",0,,"0,0",63,"0,0"
31 ORAN,65 444,"68,8",10 180,,"10,7",0,,"0,0",613,"0,6"
32 EL-BAYADH,22 342,"0,4",51 750,,"0,9",0,,"0,0",25,"0,0"
33 ILLIZI,651,"3,2",418,,"2,1",0,,"0,0",27,"0,1"
34 B.B.ARRERIDJ,86 062,"35,0",69 821,,"28,4",146,,"0,1",15,"0,0"
35 BOUMERDES,29 028,"29,7",4 786,,"4,9",0,,"0,0",15 652,"16,0"
36 EL-TARF,39 708,"47,3",20 789,,"24,7",5 000,,"6,0",700,"0,8"
37 TINDOUF,173,"0,0",67,,"0,0",0,,"0,0",5,"0,0"
38 TISSEMSILT,91 322,"48,1",34 556,,"18,2",0,,"0,0",249,"0,1"
39 EL-OUED,47 379,"2,7",7 300,,"0,4",0,,"0,0",223,"0,0"
40 KHENCHELA,127 607,"16,5",115 794,,"14,9",0,,"0,0",35,"0,0"
41 SOUK-AHRAS,175 525,"56,3",58 155,,"18,7",4 454,,"1,4",0,"0,0"
42 TIPAZA,38 936,"55,7",5 706,,"8,2",0,,"0,0",2 643,"3,8"
43 MILA,137 033,"49,7",87 546,,"31,7",802,,"0,3",16,"0,0"
44 AIN-DEFLA,133 621,"56,7",30 258,,"12,8",577,,"0,2",478,"0,2"
45 NAAMA,9 442,"0,4",15 877,,"0,7",0,,"0,0",63,"0,0"
46 A.TEMOUCHENT,142 026,"69,8",14 677,,"7,2",150,,"0,1",12 671,"6,2"
47 GHARDAIA,13 872,"1,0",37 670,,"2,7",0,,"0,0",439,"0,0"
48 RELIZANE,194 863,"65,5",71 559,,"24,1",20,,"0,0",939,"0,3"
TOTAL ALGERIE,4 682 024,"10,6",2 848 556,,"6,5",54 117,,"0,1",68 649,"0,2"
