0,1,2,3,4,5,6,7
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,SERIE B 2016
VIII-ANIMAUX D'ELEVAGE (2/4),,,,,,,
,,,,E S P E C E      O V I N E,,,
WILAYA,Brebis,Béliers,Antenaises,Antenais,Agneaux,Agnelles,TOTAL
,,,(10 à 18  mois),(10 à 18  mois),-10 mois,-  10 mois,
1 ADRAR,193 900,43 165,56 321,58 613,75 033,60 856,487 888
2 CHLEF,112 322,12 066,32 617,31 244,34 800,34 951,258 000
3 LAGHOUAT,1 572 088,58 367,56 080,20 237,88 185,187 202,1 982 159
4 O.E.BOUAGHI,374 222,18 386,53 951,23 156,81 807,99 973,651 495
5 BATNA,574 479,31 262,127 571,69 443,103 259,142 484,1 048 498
6 BEJAIA,35 254,5 070,12 450,12 396,12 779,12 600,90 549
7 BISKRA,586 600,67 356,48 086,38 469,76 936,144 253,961 700
8 BECHAR,182 368,7 013,13 457,9 307,7 582,8 531,228 258
9 BLIDA,13 713,2 599,3 490,2 848,3 131,2 982,28 763
10 BOUIRA,151 952,13 314,31 580,39 214,28 061,33 787,297 908
11 TAMANRASSET,32 183,20 455,13 883,8 679,4 339,6 942,86 481
12 TEBESSA,530 000,29 444,21 056,31 500,143 100,174 900,930 000
13 TLEMCEN,520 000,17 535,33 871,24 186,27 772,26 636,650 000
14 TIARET,1 647 460,82 918,192 012,106 641,205 117,212 061,2 446 209
15 TIZI-OUZOU,74 319,10 194,24 415,26 759,40 712,36 937,213 336
16 ALGER,7 531,1 282,2 059,1 886,4 474,2 109,19 341
17 DJELFA,2 324 000,74 150,221 790,199 560,301 180,258 320,3 379 000
18 JIJEL,43 044,4 083,6 328,5 777,7 184,7 053,73 469
19 SETIF,281 930,16 212,60 912,47 971,50 365,56 071,513 461
20 SAIDA,668 235,29 040,54 520,27 350,51 056,58 752,888 953
21 SKIKDA,102 354,14 436,42 640,32 370,22 564,32 399,246 763
22 S.B.ABBES,520 000,25 578,72 722,58 300,51 253,47 147,775 000
23 ANNABA,32 626,4 600,5 138,4 630,7 605,7 801,62 400
24 GUELMA,261 383,17 736,44 240,45 552,57 794,75 690,502 395
25 CONSTANTINE,108 985,3 141,17 580,15 082,14 555,11 844,171 187
26 MEDEA,367 947,36 338,175 452,123 614,87 007,96 681,887 039
27 MOSTAGANEM,101 420,7 940,32 940,15 940,19 645,35 265,213 150
28 M'SILA,1 050 000,24 600,131 000,117 000,138 000,169 400,1 630 000
29 MASCARA,296 000,21 100,83 000,81 100,110 600,108 200,700 000
30 OUARGLA,65 068,9 460,11 967,8 386,19 653,25 923,140 457
31 ORAN,101 671,7 924,11 848,14 152,11 368,8 637,155 600
32 EL-BAYADH,1 147 000,114 620,175 510,182 530,208 640,185 960,2 014 260
33 ILLIZI,17 181,14 634,0,0,1 653,2 250,35 718
34 B.B.ARRERIDJ,227 701,13 037,37 875,21 602,60 130,57 160,417 505
35 BOUMERDES,17 583,5 228,4 604,5 041,5 769,4 470,42 695
36 EL-TARF,94 838,8 926,21 375,14 307,9 489,12 055,160 990
37 TINDOUF,22 485,1 520,3 381,2 616,3 479,3 995,37 476
38 TISSEMSILT,152 000,8 154,12 530,26 731,14 720,20 865,235 000
39 EL-OUED,320 000,16 000,89 706,104 653,59 796,44 845,635 000
40 KHENCHELA,283 047,10 718,31 277,33 344,30 031,42 108,430 525
41 SOUK-AHRAS,180 930,29 831,50 814,29 177,71 895,79 700,442 347
42 TIPAZA,27 920,6 597,5 289,5 336,8 052,8 134,61 328
43 MILA,181 695,22 065,31 390,27 039,27 534,29 101,318 824
44 AIN-DEFLA,102 791,15 652,26 195,22 127,23 800,26 522,217 087
45 NAAMA,937 999,40 318,81 759,69 020,127 821,143 083,1 400 000
46 A.TEMOUCHENT,112 912,6 777,16 933,14 181,16 425,14 437,181 665
47 GHARDAIA,172 000,18 740,38 830,35 460,44 850,51 120,361 000
48 RELIZANE,230 185,27 848,42 455,42 550,43 434,38 635,425 107
TOTAL ALGERIE,17 161 321,1 077 429,2 364 899,1 937 076,2 644 434,2 950 827,28 135 986
Antenaise: femelle âgée de + 9 mois n'ayant pas encore agnelé (mis-bas),,,,,,,
